student,semester,course,period
31990,Fall,PolSci 211,M2
31990,Fall,PhyEd 700F,T2
31990,Winter,PhyEd 700W,M4
32714,Winter,AstroEngr 331,M1
32714,Winter,AstroEngr 335,T3
32714,Spring,Engr 342,M1
32714,Fall,Math 356,T4
32714,Fall,Philos 310,M1
32714,Spring,AstroEngr 321,M2
32714,Spring,AstroEngr 351,M3
32714,Fall,ECE 315,M4
32714,Fall,Engr 341,M2
32714,Winter,EngrMech 330,T1
32714,Fall,Math 346,T3
32714,Winter,PhyEd 700W,M4
32714,Spring,PhyEd 700S,T1
34547,Spring,BehSci 110,T2
34547,Winter,Chem 200,T3
34547,Spring,CompSci 110,T4
34547,Fall,Japanese 132,T3
34547,Fall,Law 220,T1
34547,Fall,Math 142,M2
34547,Winter,Chem 100,T1
34547,Spring,English 111,M1
34547,Fall,History 100,M1
34547,Spring,Japanese 131,M2
34547,Winter,Math 141,M4
34547,Fall,PhyEd 700F,T4
34547,Spring,PhyEd 700S,M3
33114,Fall,ECE 315,T3
33114,Fall,Math 300,M4
33114,Spring,MSS 298,T3
33114,Winter,MSS 381,T3
33114,Winter,SocSci 311,M4
33114,Spring,Chem 200,M1
33114,Spring,English 211,M3
33114,Spring,EngrMech 220,T4
33114,Winter,Philos 310,T4
33114,Winter,Philos 495B,M2
33114,Fall,PolSci 211,T4
33114,Fall,PhyEd 700F,M3
33114,Winter,PhyEd 700W,T1
34548,Winter,Chem 200,M3
34548,Fall,CompSci 110,M3
34548,Winter,English 111,T2
34548,Winter,Law 220,M2
34548,Fall,Math 142,T2
34548,Fall,Spanish 132,T3
34548,Fall,BehSci 110,M1
34548,Spring,Chem 100,M3
34548,Spring,History 100,T1
34548,Spring,Math 141,M1
34548,Fall,PhyEd 714F,M4
34548,Winter,PhyEd 714W,M4
34548,Spring,PhyEd 714S,M4
34548,Fall,PhyEd 718F,T4
34548,Winter,PhyEd 718W,T4
34548,Spring,PhyEd 718S,T4
32365,Fall,AstroEngr 310,T2
32365,Fall,Biology 215,M1
32365,Spring,CompSci 220,T3
32365,Spring,OpsRsch 312,M4
32365,Winter,SysEngr 301,T3
32365,Winter,AeroEngr 315,T4
32365,Spring,CompSci 211,T1
32365,Fall,History 300,T4
32365,Fall,Math 356,T3
32365,Fall,OpsRsch 310,M4
32365,Winter,SysEngr 310,T1
32365,Winter,PhyEd 700W,M4
32365,Spring,PhyEd 700S,M1
34549,Spring,BehSci 110,T1
34549,Fall,Chem 100,T1
34549,Fall,Econ 201,T3
34549,Spring,German 132,M4
34549,Winter,History 100,M3
34549,Winter,Math 243,T1
34549,Fall,CompSci 110,M3
34549,Spring,English 111,T4
34549,Winter,German 131,T4
34549,Spring,Math 152,M2
34549,Winter,Physics 110,T3
34549,Fall,PhyEd 700F,M2
34549,Spring,PhyEd 700S,T3
34550,Fall,BehSci 110,T1
34550,Fall,Chinese 222,T3
34550,Winter,CompSci 110,T1
34550,Winter,Math 142,M1
34550,Spring,Physics 110,M1
34550,Spring,Chem 100,T1
34550,Winter,Chinese 221,M2
34550,Fall,English 111,T4
34550,Fall,History 100,M2
34550,Winter,Math 141,T2
34550,Fall,PhyEd 700F,M4
34550,Winter,PhyEd 700W,T3
34169,Fall,Chem 200,T1
34169,Fall,Econ 201,T3
34169,Winter,History 300,M3
34169,Spring,OpsRsch 310,T2
34169,Fall,EngrMech 220,M4
34169,Spring,Law 220,M1
34169,Winter,Math 300,T4
34169,Winter,Philos 310,M2
34169,Spring,PolSci 211,M3
34169,Winter,English 211,M4
34169,Winter,PhyEd 700W,T1
34169,Spring,PhyEd 700S,M2
34170,Winter,Biology 330,M1
34170,Winter,Chem 200,T1
34170,Spring,Econ 201,M2
34170,Fall,French 222,M3
34170,Fall,Law 220,M4
34170,Spring,Biology 215,T1
34170,Winter,EngrMech 220,M4
34170,Spring,French 221,T2
34170,Fall,MSS 251,M1
34170,Fall,PolSci 211,T4
34170,Winter,English 211,T3
34170,Fall,PhyEd 700F,T3
34170,Spring,PhyEd 700S,M3
34551,Fall,Chem 100,M1
34551,Spring,English 111,T2
34551,Spring,Japanese 132,M3
34551,Spring,Math 142,M2
34551,Winter,Physics 110,T3
34551,Winter,BehSci 110,M2
34551,Spring,CompSci 110,T4
34551,Fall,History 100,T2
34551,Fall,Japanese 131,T3
34551,Winter,Math 141,T2
34551,Fall,PhyEd 714F,M4
34551,Winter,PhyEd 714W,M4
34551,Spring,PhyEd 714S,M4
34551,Fall,PhyEd 715F,T1
34551,Winter,PhyEd 715W,T1
34551,Spring,PhyEd 715S,T1
35231,Winter,CompSci 110,M4
35231,Spring,English 111,T2
35231,Winter,Math 142,M3
35231,Fall,Physics 110,T3
35231,Winter,PolSci 211,T3
35231,Spring,BehSci 110,M3
35231,Spring,Chem 100,M1
35231,Winter,History 100,M1
35231,Fall,Math 141,T2
35231,Fall,PhyEd 700F,M3
35231,Winter,PhyEd 700W,M2
33116,Spring,BehSci 335,T1
33116,Spring,EngrMech 220,M2
33116,Winter,History 300,M2
33116,Fall,Philos 310,M2
33116,Winter,Law 220,M1
33116,Fall,Math 300,T3
33116,Winter,MSS 251,T1
33116,Fall,Physics 110,T1
33116,Spring,PolSci 211,M3
33116,Winter,English 211,T3
33116,Fall,PhyEd 714F,M4
33116,Winter,PhyEd 714W,M4
33116,Spring,PhyEd 714S,M4
33116,Fall,PhyEd 718F,T4
33116,Winter,PhyEd 718W,T4
33116,Spring,PhyEd 718S,T4
33117,Winter,Biology 215,M1
33117,Fall,Biology 332,T2
33117,Fall,Chem 200,T1
33117,Fall,History 300,M2
33117,Winter,Law 220,M3
33117,Fall,Econ 201,T3
33117,Spring,EngrMech 220,M3
33117,Winter,Japanese 221,T3
33117,Spring,MSS 251,M1
33117,Spring,PolSci 211,M4
33117,Winter,PhyEd 700W,M2
33117,Spring,PhyEd 700S,T3
31691,Winter,AeroEngr 342,T3
31691,Winter,AeroEngr 352,M2
31691,Spring,AeroEngr 361,M3
31691,Spring,EngrMech 330,T3
31691,Spring,History 300,M2
31691,Winter,PolSci 211,T1
31691,Fall,AeroEngr 341,M2
31691,Winter,AeroEngr 351,M3
31691,Fall,English 211,T1
31691,Fall,EngrMech 320,M3
31691,Fall,Math 346,M4
31691,Spring,Math 356,M1
31691,Fall,PhyEd 700F,M1
31691,Spring,PhyEd 700S,T1
34172,Spring,ECE 315,M1
34172,Winter,History 300,M2
34172,Fall,MSS 251,T3
34172,Spring,MSS 298,T2
34172,Winter,SocSci 212,M3
34172,Spring,Biology 215,M3
34172,Spring,Econ 201,T4
34172,Winter,English 211,M1
34172,Fall,EngrMech 220,T1
34172,Winter,Law 220,T4
34172,Fall,PolSci 211,T2
34172,Fall,PhyEd 700F,M2
34172,Winter,PhyEd 700W,T2
31692,Spring,Engr 495,T3
31692,Spring,EngrMech 340,M2
31692,Spring,Math 356,T4
31692,Winter,MechEngr 325,T3
31692,,MechEngr 341,
31692,Spring,MechEngr 370,M3
31692,Fall,AstroEngr 310,T3
31692,Fall,Biology 215,T1
31692,Fall,EngrMech 305,M3
31692,Winter,EngrMech 320,M1
31692,Winter,EngrMech 350,T2
31692,Winter,Math 243,M3
31692,Fall,MechEngr 312,M2
31692,Winter,PhyEd 700W,M2
31692,Spring,PhyEd 700S,T1
33118,Winter,CompSci 212,M3
33118,Spring,Math 344,M3
33118,Fall,MSS 251,T3
33118,Fall,OpsRsch 310,M3
33118,Winter,Econ 201,M2
33118,Fall,EngrMech 220,M2
33118,Spring,Law 220,T1
33118,Spring,Physics 215,M1
33118,Winter,PolSci 211,T2
33118,Fall,English 211,M1
33118,Fall,PhyEd 714F,M4
33118,Winter,PhyEd 714W,M4
33118,Spring,PhyEd 714S,M4
33118,Fall,PhyEd 718F,T4
33118,Winter,PhyEd 718W,T4
33118,Spring,PhyEd 718S,T4
33119,Winter,Biology 320,T3
33119,Fall,Chem 234,M2
33119,Winter,Chem 243,T1
33119,Fall,EngrMech 220,T3
33119,Winter,Law 220,T4
33119,Spring,PolSci 211,M3
33119,Winter,Biology 215,M1
33119,Spring,Chem 233,T3
33119,Fall,Econ 201,T2
33119,Spring,MSS 251,M1
33119,Fall,Physics 215,M1
33119,Fall,PhyEd 700F,T1
33119,Spring,PhyEd 700S,T1
35618,Winter,BehSci 110,T2
35618,Winter,Econ 201,M2
35618,Spring,English 111,M2
35618,Spring,Math 142,T2
35618,Spring,Physics 110,M3
35618,Fall,Chem 100,M3
35618,Fall,CompSci 110,T1
35618,Winter,History 100,M3
35618,Fall,Math 141,M2
35618,Fall,PhyEd 700F,T4
35618,Winter,PhyEd 700W,T3
35237,Spring,Chem 100,M1
35237,Winter,Econ 201,M2
35237,Fall,English 111,T4
35237,Spring,History 100,T1
35237,Fall,Math 142,T2
35237,Fall,BehSci 110,M3
35237,Winter,Chinese 131,T2
35237,Winter,CompSci 110,M4
35237,Fall,EAP 109,M2
35237,Fall,LearnStrat 101Y,T3
35237,Spring,Math 141,M3
35237,Fall,ReadStrat 103,M1
35237,Winter,PhyEd 700W,T4
35237,Spring,PhyEd 700S,M2
34173,Winter,Arabic 410,T3
34173,Spring,EngrMech 220,M2
34173,Winter,Geo 250,M1
34173,Winter,Geo 495,M2
34173,Spring,MSS 251,T3
34173,Winter,SocSci 212,T4
34173,Winter,Arabic 365,M3
34173,Spring,History 300,M3
34173,Fall,Law 220,T4
34173,Fall,Physics 110,M3
34173,Fall,PolSci 211,T2
34173,Fall,PhyEd 700F,M2
34173,Spring,PhyEd 700S,T1
31991,Winter,AeroEngr 352,M3
31991,Winter,BehSci 373,T2
31991,Winter,SysEngr 301,T3
31991,Spring,SysEngr 320,T2
31991,Spring,SysEngr 336,M3
31991,Winter,AeroEngr 351,M1
31991,Spring,Biology 215,M1
31991,Spring,ECE 315,T1
31991,Fall,Math 356,M4
31991,Fall,OpsRsch 310,T1
31991,Fall,SysEngr 310,M1
31991,Fall,PhyEd 700F,T3
31991,Winter,PhyEd 700W,M4
35619,Winter,CompSci 110,M3
35619,Spring,English 111,M3
35619,Fall,History 100,T1
35619,Spring,Math 142,M1
35619,Spring,Portuguese 132,M2
35619,Winter,BehSci 110,T3
35619,Winter,Chem 100,M1
35619,Fall,LearnStrat 101,M2
35619,Fall,Math 141,M3
35619,Fall,Portuguese 131,M1
35619,Fall,PhyEd 714F,M4
35619,Winter,PhyEd 714W,M4
35619,Spring,PhyEd 714S,M4
35619,Fall,PhyEd 718F,T4
35619,Winter,PhyEd 718W,T4
35619,Spring,PhyEd 718S,T4
34174,Spring,History 300,T3
34174,Winter,Law 221,M3
34174,Winter,Math 300,T1
34174,Fall,MSS 251,M3
34174,Spring,Philos 310,M3
34174,Winter,English 211,M1
34174,Winter,EngrMech 220,M2
34174,Fall,History 100,T2
34174,Fall,Law 220,T3
34174,Spring,Physics 110,M1
34174,Fall,PolSci 211,T1
34174,Fall,PhyEd 714F,M4
34174,Winter,PhyEd 714W,M4
34174,Spring,PhyEd 714S,M4
34174,Fall,PhyEd 718F,T4
34174,Winter,PhyEd 718W,T4
34174,Spring,PhyEd 718S,T4
34175,Spring,Econ 201,T1
34175,Fall,Philos 310,T1
34175,Fall,Physics 110,M1
34175,Winter,EngrMech 220,T4
34175,Winter,Law 220,T3
34175,Spring,MSS 251,M1
34175,Winter,Physics 110,M1
34175,Fall,PolSci 211,M3
34175,Fall,English 211,T3
34175,Winter,PhyEd 700W,T2
34175,Spring,PhyEd 700S,M3
34552,Winter,Chem 100,M1
34552,Fall,Japanese 132,M4
34552,Fall,Math 142,T2
34552,Fall,Physics 110,M1
34552,Winter,PolSci 211,T2
34552,Spring,CompSci 110,M4
34552,Spring,English 111,M1
34552,Winter,History 100,T3
34552,Spring,Japanese 131,M2
34552,Spring,Math 141,T2
34552,Winter,ReadStrat 103,M3
34552,Fall,PhyEd 700F,T1
34552,Spring,PhyEd 700S,T4
34553,Spring,CompSci 110,M1
34553,Fall,Econ 201,T1
34553,Spring,English 111,M4
34553,Fall,History 100,M4
34553,Spring,Math 142,T2
34553,Spring,Physics 110,T3
34553,Winter,BehSci 110,M4
34553,Winter,Chem 200,M1
34553,Spring,French 131,T1
34553,Fall,LearnStrat 101,M1
34553,Winter,Math 141,T4
34553,Fall,ReadStrat 103,M2
34553,Fall,PhyEd 700F,T2
34553,Winter,PhyEd 700W,T3
33121,Fall,Chem 200,T3
33121,Winter,CompSci 211,M3
33121,Spring,EngrMech 220,M4
33121,Spring,Math 245,M1
33121,Spring,Physics 264,T2
33121,Winter,Econ 201,T3
33121,Spring,English 211,M2
33121,Fall,Law 220,M2
33121,Winter,OpsRsch 310,T2
33121,Fall,Physics 215,T1
33121,Winter,PhyEd 700W,T1
33121,Spring,PhyEd 700S,T3
35232,Spring,Chem 100,T3
35232,Winter,Econ 201,T3
35232,Spring,English 111,T1
35232,Winter,German 132,M3
35232,Winter,Physics 110,M1
35232,Spring,BehSci 110,M1
35232,Fall,CompSci 110,T4
35232,Fall,German 131,T1
35232,Fall,History 100,M4
35232,Fall,Math 152,T2
35232,Fall,PhyEd 700F,M1
35232,Spring,PhyEd 700S,M2
32716,Winter,Biology 215,M3
32716,Spring,ECE 315,T4
32716,Fall,History 300,T1
32716,Spring,MSS 298,T3
32716,Spring,PolSci 302,T1
32716,Fall,AeroEngr 315,M4
32716,Winter,EngrMech 220,T1
32716,Winter,MSS 362,T3
32716,Spring,MSS 480,T2
32716,Fall,MSS 493,T3
32716,Fall,PhyEd 700F,T4
32716,Winter,PhyEd 700W,M1
33122,Spring,Arabic 222,T2
33122,Winter,Biology 332,M2
33122,Spring,EngrMech 220,M2
33122,Fall,History 300,T4
33122,Spring,MSS 251,T1
33122,Winter,SocSci 311,M4
33122,Fall,Arabic 221,M2
33122,Fall,Biology 330,M1
33122,Winter,Chem 200,T3
33122,Winter,English 211,M1
33122,Fall,Physics 215,M3
33122,Spring,PolSci 211,T4
33122,Winter,PhyEd 700W,M3
33122,Spring,PhyEd 700S,M3
31693,Winter,AstroEngr 310,M2
31693,Winter,Biology 215,M3
31693,Winter,Mgt 337,T4
31693,Spring,Mgt 342,T4
31693,Spring,Mgt 375,M4
31693,Spring,Spanish 322,M2
31693,Spring,ECE 315,M1
31693,Fall,Mgt 303,M1
31693,Fall,Mgt 341,T4
31693,Winter,Mgt 345,T1
31693,Winter,Mgt 382,M4
31693,Fall,OpsRsch 310,M3
31693,Fall,Spanish 321,M2
31693,Fall,PhyEd 700F,T2
31693,Spring,PhyEd 700S,T2
33123,Fall,EngrMech 220,M3
33123,Winter,Law 220,M3
33123,Winter,Math 245,M2
33123,Spring,Physics 264,T2
33123,Fall,PolSci 211,M2
33123,Spring,Econ 201,M4
33123,Fall,German 221,T1
33123,Fall,Math 243,M4
33123,Spring,MSS 251,M1
33123,Winter,Physics 215,T1
33123,Spring,English 211,T3
33123,Fall,PhyEd 700F,M1
33123,Winter,PhyEd 700W,T2
34176,Spring,CompSci 211,T3
34176,Winter,ECE 315,T3
34176,Spring,EngrMech 220,M3
34176,Fall,MSS 251,T3
34176,Spring,OpsRsch 310,M1
34176,Winter,BehSci 373,T2
34176,Winter,Math 243,M3
34176,Fall,Physics 215,M1
34176,Fall,PolSci 211,M3
34176,Winter,SysEngr 310,M1
34176,Spring,English 211,M2
34176,Fall,PhyEd 714F,M4
34176,Winter,PhyEd 714W,M4
34176,Spring,PhyEd 714S,M4
34176,Fall,PhyEd 715F,T1
34176,Winter,PhyEd 715W,T1
34176,Spring,PhyEd 715S,T1
35338,Fall,CompSci 110,M4
35338,Fall,English 111,T2
35338,Winter,History 100,T4
35338,Fall,Math 142,T1
35338,Spring,Physics 110,T3
35338,Spring,BehSci 110,T2
35338,Winter,Chem 100,T1
35338,Fall,EAP 109,M3
35338,Fall,LearnStrat 101Y,T3
35338,Winter,Math 141,T3
35338,Winter,PhyEd 700W,M2
35338,Spring,PhyEd 700S,T4
32718,Winter,AstroEngr 310,T2
32718,Spring,BehSci 335,T1
32718,Winter,Biology 215,M3
32718,Fall,English 411,M2
32718,Fall,MSS 451,T2
32718,Spring,AeroEngr 315,M2
32718,Fall,BehSci 332,T3
32718,Winter,BehSci 358,T3
32718,Winter,BehSci 360,T1
32718,Spring,Philos 310,M1
32718,Fall,PhyEd 700F,T4
32718,Spring,PhyEd 700S,M3
31694,Fall,AeroEngr 315,T2
31694,Winter,English 344,T2
31694,Spring,English 390,T3
31694,Fall,Math 300,M2
31694,Spring,Philos 310,T4
31694,Winter,AstroEngr 310,M2
31694,Spring,Biology 215,M3
31694,Fall,English 343,T3
31694,Winter,English 353,M3
31694,Winter,History 300,T1
31694,Fall,PhyEd 700F,T1
31694,Winter,PhyEd 700W,T4
33125,Fall,ECE 315,T4
33125,Winter,Econ 332,T3
33125,Winter,OpsRsch 310,T1
33125,Winter,SocSci 311,M2
33125,Fall,Biology 215,M3
33125,Spring,Chem 200,T1
33125,Spring,EngrMech 220,M1
33125,Winter,History 300,T4
33125,Spring,Law 220,M3
33125,Fall,MSS 251,T1
33125,Winter,English 211,M4
33125,Winter,PhyEd 700W,T2
33125,Spring,PhyEd 700S,T2
35233,Fall,BehSci 110,T2
35233,Fall,CompSci 110,M2
35233,Fall,Japanese 132,M1
35233,Winter,Math 142,T2
35233,Winter,Physics 110,M3
35233,Spring,Chem 100,T3
35233,Winter,English 111,T1
35233,Fall,History 100,T1
35233,Winter,Japanese 131,M2
35233,Spring,Math 141,T1
35233,Fall,PhyEd 700F,M3
35233,Spring,PhyEd 700S,M1
30376,Fall,CivEngr 330,M3
30376,Fall,ECE 315,M2
30376,Winter,History 300,T2
30376,Spring,Law 220,M4
30376,Spring,Math 245,T3
30376,Winter,PolSci 211,M3
30376,Fall,English 211,T3
30376,Spring,EngrMech 220,M3
30376,Fall,Math 243,T2
30376,Winter,MSS 251,M1
30376,Spring,Physics 215,M1
30376,Fall,PhyEd 700F,M4
30376,Winter,PhyEd 700W,M2
34554,Fall,Arabic 132,T4
34554,Spring,BehSci 110,M4
34554,Fall,Chem 200,M3
34554,Spring,CompSci 110,M3
34554,Spring,Math 142,T4
34554,Spring,Physics 110,M1
34554,Winter,Arabic 131,M2
34554,Winter,Chem 100,M3
34554,Winter,English 111,T4
34554,Fall,History 100,T1
34554,Fall,Math 141,M1
34554,Fall,ReadStrat 103,T2
34554,Winter,PhyEd 700W,T1
34554,Spring,PhyEd 700S,T1
33126,Spring,ECE 315,M3
33126,Fall,Math 300,T1
33126,Spring,MSS 298,T2
33126,Winter,SocSci 311,T1
33126,Winter,Biology 215,M1
33126,Fall,Econ 201,M1
33126,Winter,EngrMech 220,T4
33126,Winter,Law 220,T2
33126,Fall,PolSci 211,M2
33126,Spring,English 211,M2
33126,Fall,PhyEd 700F,M4
33126,Spring,PhyEd 700S,T3
34555,Spring,BehSci 110,M3
34555,Fall,CompSci 110,T3
34555,Winter,Math 142,M3
34555,Winter,Physics 110,T1
34555,Spring,Portuguese 132,M2
34555,Fall,Chem 100,M3
34555,Spring,English 111,M1
34555,Winter,History 100,T3
34555,Spring,Math 141,T1
34555,Fall,Portuguese 131,M2
34555,Fall,PhyEd 714F,M4
34555,Winter,PhyEd 714W,M4
34555,Spring,PhyEd 714S,M4
34555,Fall,PhyEd 718F,T4
34555,Winter,PhyEd 718W,T4
34555,Spring,PhyEd 718S,T4
33120,Spring,Arabic 222,T2
33120,Fall,Chem 200,T1
33120,Spring,MSS 298,M2
33120,Spring,Physics 110,T1
33120,Winter,SocSci 212,M2
33120,Fall,Arabic 221,M2
33120,Winter,History 300,T3
33120,Fall,MSS 251,M1
33120,Winter,Physics 110,T1
33120,Winter,PolSci 211,M1
33120,Fall,PhyEd 714F,M4
33120,Winter,PhyEd 714W,M4
33120,Spring,PhyEd 714S,M4
33120,Fall,PhyEd 718F,T4
33120,Winter,PhyEd 718W,T4
33120,Spring,PhyEd 718S,T4
33128,Fall,Chem 200,M3
33128,Winter,Econ 332,M4
33128,Winter,EngrMech 220,T4
33128,Winter,MSS 201,M1
33128,Fall,OpsRsch 310,M1
33128,Fall,Econ 201,T4
33128,Fall,Law 220,T3
33128,Spring,MSS 251,T1
33128,Spring,Physics 215,T3
33128,Winter,PolSci 211,T2
33128,Spring,English 211,M3
33128,Fall,PhyEd 700F,T1
33128,Winter,PhyEd 700W,T1
31695,Winter,AstroEngr 310,T3
31695,Fall,Biology 215,T1
31695,Winter,Mgt 337,T2
31695,Spring,Mgt 342,T1
31695,Spring,Mgt 375,T3
31695,Spring,ECE 315,M3
31695,Fall,Mgt 303,M1
31695,Fall,Mgt 341,M2
31695,Winter,Mgt 345,M3
31695,Winter,Mgt 382,T1
31695,Fall,Philos 310,M4
31695,Winter,PhyEd 700W,M4
31695,Spring,PhyEd 700S,M1
31696,Winter,AstroEngr 310,M2
31696,Winter,Law 340,T3
31696,Winter,Mgt 337,T4
31696,Spring,Mgt 342,M4
31696,Spring,Mgt 375,M1
31696,Winter,AstroEngr 310,M1
31696,Spring,Biology 215,T3
31696,Fall,Mgt 303,T3
31696,Fall,Mgt 341,T2
31696,Winter,Mgt 345,T1
31696,Fall,OpsRsch 310,M3
31696,Fall,PhyEd 700F,T4
31696,Spring,PhyEd 700S,M2
35620,Winter,CompSci 110,T2
35620,Fall,English 111,T3
35620,Winter,German 132,T1
35620,Winter,History 100,M1
35620,Winter,Math 142,T3
35620,Spring,BehSci 110,T1
35620,Fall,Chem 100,T1
35620,Spring,German 131,M1
35620,Fall,LearnStrat 101,M3
35620,Spring,Math 141,M3
35620,Fall,PhyEd 714F,M4
35620,Winter,PhyEd 714W,M4
35620,Spring,PhyEd 714S,M4
35620,Fall,PhyEd 718F,T4
35620,Winter,PhyEd 718W,T4
35620,Spring,PhyEd 718S,T4
31697,Fall,AeroEngr 315,M2
31697,Spring,Biology 215,T1
31697,Spring,OpsRsch 312,M3
31697,Winter,SysEngr 301,T3
31697,Winter,SysEngr 470,M3
31697,Winter,BehSci 375,M2
31697,Spring,ECE 315,M2
31697,Winter,Math 356,M1
31697,Fall,SysEngr 310,T1
31697,Fall,SysEngr 311,M1
31697,Fall,PhyEd 714F,M4
31697,Winter,PhyEd 714W,M4
31697,Spring,PhyEd 714S,M4
31697,Fall,PhyEd 718F,T4
31697,Winter,PhyEd 718W,T4
31697,Spring,PhyEd 718S,T4
32366,Fall,AeroEngr 315,T3
32366,Winter,French 322,T2
32366,Spring,History 373,M2
32366,Spring,PolSci 302,T2
32366,Spring,PolSci 394,M3
32366,Winter,ECE 315,M3
32366,Fall,French 321,M2
32366,Winter,History 300,T4
32366,Winter,Math 300,T3
32366,Fall,PolSci 300,T2
32366,Fall,PolSci 479,M3
32366,Fall,PhyEd 714F,M4
32366,Winter,PhyEd 714W,M4
32366,Spring,PhyEd 714S,M4
32366,Fall,PhyEd 715F,T1
32366,Winter,PhyEd 715W,T1
32366,Spring,PhyEd 715S,T1
33149,Spring,AeroEngr 241,T2
33149,Spring,AeroEngr 495,M3
33149,Winter,EngrMech 330,T4
33149,Fall,PolSci 211,T3
33149,Winter,AeroEngr 210,T2
33149,Fall,CompSci 206,M2
33149,Winter,EngrMech 220,T1
33149,Spring,Law 220,T3
33149,Spring,Math 245,M1
33149,Fall,Physics 215,T1
33149,Winter,English 211,T3
33149,Fall,PhyEd 700F,M3
33149,Winter,PhyEd 700W,M1
34556,Fall,BehSci 110,M2
34556,Fall,Chem 200,M3
34556,Fall,CompSci 110,M1
34556,Winter,Math 142,M2
34556,Winter,Spanish 132,M3
34556,Spring,Chem 100,M3
34556,Spring,English 111,T1
34556,Spring,History 100,T3
34556,Winter,Math 141,T1
34556,Winter,ReadStrat 103,M4
34556,Fall,Spanish 131,T1
34556,Winter,PhyEd 700W,T4
34556,Spring,PhyEd 700S,T2
34557,Fall,BehSci 110,M1
34557,Winter,CompSci 110,T4
34557,Spring,English 111,T2
34557,Fall,Japanese 132,M4
34557,Winter,Physics 110,M1
34557,Fall,Chem 100,T1
34557,Spring,English 111,T1
34557,Winter,History 100,T3
34557,Spring,Japanese 131,M2
34557,Winter,Math 152,M3
34557,Fall,PhyEd 700F,M3
34557,Spring,PhyEd 700S,T3
31993,Fall,AeroEngr 315,T1
31993,Spring,Law 220,M1
31993,Spring,PolSci 302,T2
31993,Spring,PolSci 394,M2
31993,Winter,SocSci 212,T3
31993,Fall,SocSci 483,T4
31993,Winter,Arabic 365,M3
31993,Spring,Biology 215,T3
31993,Winter,ECE 315,T1
31993,Fall,Math 300,T2
31993,Fall,PolSci 300,M3
31993,Winter,PolSci 301,T2
31993,Fall,PhyEd 700F,M1
31993,Winter,PhyEd 700W,M4
35410,Fall,Chem 100,T3
35410,Winter,Econ 201,M3
35410,Fall,English 111,M1
35410,Fall,Math 142,M4
35410,Spring,BehSci 110,M3
35410,Spring,CompSci 110,T4
35410,Fall,EAP 109,M3
35410,Spring,History 100,M2
35410,Winter,Math 141,T1
35410,Winter,PhyEd 700W,M1
35410,Spring,PhyEd 700S,T2
33150,Winter,ECE 210,M2
33150,Winter,ECE 281,M3
33150,Winter,ECE 315,T4
33150,Fall,Math 243,M3
33150,Fall,MSS 201,M1
33150,Spring,OpsRsch 310,T2
33150,Fall,Econ 201,T1
33150,Spring,EngrMech 220,T1
33150,Spring,MSS 251,M3
33150,Winter,Physics 215,M1
33150,Winter,English 211,T1
33150,Fall,PhyEd 700F,T2
33150,Spring,PhyEd 700S,M1
35234,Winter,BehSci 110,T1
35234,Spring,CompSci 110,T1
